ProjectName :CCSES-CT-Universe,,,
,,,
FileType,Total Files Count,Total Lines Count,
239,QC0150.TEMP.txt,16,CCSES-CT-Universe
240,QC0201.TEMP.txt,1,CCSES-CT-Universe
241,QC0202.TEMP.txt,1,CCSES-CT-Universe
242,QC2200.TEMP.txt,9,CCSES-CT-Universe
243,QC2250.ERR.TEMP.txt,7,CCSES-CT-Universe
244,QC2250.TEMP.txt,14,CCSES-CT-Universe
245,QC2250.UPDT.TEMP.txt,25,CCSES-CT-Universe
246,QC2252.TEMP.txt,14,CCSES-CT-Universe
247,QC2900.TEMP.txt,12,CCSES-CT-Universe
248,QC3000.TEMP.txt,8,CCSES-CT-Universe
249,QC7150.TEMP.txt,9,CCSES-CT-Universe
250,QL.TEMP.txt,14,CCSES-CT-Universe
251,RC.FLE.D.txt,15,CCSES-CT-Universe
252,RC.FLE.txt,87,CCSES-CT-Universe
253,RC.WORK.txt,356,CCSES-CT-Universe
254,RC.WORKEOQ1.txt,36,CCSES-CT-Universe
255,RC.WORKEOQ2.txt,36,CCSES-CT-Universe
256,RC.WORKEOQ3.txt,36,CCSES-CT-Universe
257,RC.WORKEOQ4.txt,36,CCSES-CT-Universe
258,RC.WORKEOQ5.txt,36,CCSES-CT-Universe
259,RC.WORKQ1.txt,37,CCSES-CT-Universe
260,RC.WORKQ2.txt,37,CCSES-CT-Universe
261,RC.WORKQ3.txt,37,CCSES-CT-Universe
262,RC.WORKQ4.txt,37,CCSES-CT-Universe
263,RCT200.TEMP.txt,18,CCSES-CT-Universe
264,RCT250.TEMP.txt,9,CCSES-CT-Universe
265,RCT260.TEMP.txt,3,CCSES-CT-Universe
266,RE.FLE.txt,12,CCSES-CT-Universe
267,RE.HDR.txt,3,CCSES-CT-Universe
268,RF.HDR.txt,4,CCSES-CT-Universe
269,RM.FLE.txt,10,CCSES-CT-Universe
270,RM.HDR.txt,4,CCSES-CT-Universe
271,RP0270.TEMP.txt,22,CCSES-CT-Universe
272,RP0300.TEMP.txt,10,CCSES-CT-Universe
273,RP0400.TEMP.txt,154,CCSES-CT-Universe
274,RP1240.TEMP.txt,16,CCSES-CT-Universe
275,RP1250.TEMP.txt,7,CCSES-CT-Universe
276,RP1700.TEMP.txt,4,CCSES-CT-Universe
277,RP1900.TEMP.txt,4,CCSES-CT-Universe
278,RP2000.TEMP.txt,13,CCSES-CT-Universe
279,RP2250.TEMP.txt,3,CCSES-CT-Universe
280,RP2525.TEMP.txt,16,CCSES-CT-Universe
281,RP2551.WORK.txt,16,CCSES-CT-Universe
282,RP2775.TEMP.txt,7,CCSES-CT-Universe
283,RP3075.TEMP.txt,10,CCSES-CT-Universe
284,RP3352.TEMP.txt,6,CCSES-CT-Universe
285,RP4300.DET.TEMP.txt,118,CCSES-CT-Universe
286,RP4300.TEMP.txt,118,CCSES-CT-Universe
287,RP4500.TEMP.txt,48,CCSES-CT-Universe
288,RP4700.TEMP.txt,5,CCSES-CT-Universe
289,RP50.TEMP.txt,147,CCSES-CT-Universe
290,RP5010.TEMP.txt,5,CCSES-CT-Universe
291,RP5030.TEMP.txt,5,CCSES-CT-Universe
292,RP5050.TEMP.txt,85,CCSES-CT-Universe
293,RP5100.HDR.txt,4,CCSES-CT-Universe
294,RP5100.TEMP.txt,28,CCSES-CT-Universe
295,RP5101.TEMP.txt,93,CCSES-CT-Universe
296,RP5110.TEMP.txt,9,CCSES-CT-Universe
297,RS.FLE.txt,2,CCSES-CT-Universe
298,S1.FLE.txt,49,CCSES-CT-Universe
299,S2.FLE.txt,49,CCSES-CT-Universe
300,SA.FLE.txt,285,CCSES-CT-Universe
301,SBR011.TEMP.txt,5,CCSES-CT-Universe
302,SBR015.TEMP.txt,9,CCSES-CT-Universe
303,SBR065.TEMP.txt,15,CCSES-CT-Universe
304,SBR080.TEMP.txt,1,CCSES-CT-Universe
305,SC.FLE.txt,47,CCSES-CT-Universe
306,SDU.TEMP.txt,94,CCSES-CT-Universe
